Year,Office,Party,CandidateName
2008,Assessment of Working Waterfront Property Based Upon Current Use,Non-Partisan,Yes for Approval
2008,Changes and Improvements Not Affecting the Assessed Value of Residential Real Property,Non-Partisan,Yes for Approval
2008,Circuit Judge,Non-Partisan,Lisa Raleigh
2008,Declaration of Rights,Non-Partisan,Yes for Approval
2008,Englewood Area Fire Control District,Non-Partisan,Charles H. Bray
2008,Florida Marriage Protection Amendment,Non-Partisan,Yes for Approval
2008,Local Option Community College Funding,Non-Partisan,Yes for Approval
2008,Loxahatchee River Environmental Control District,Non-Partisan,Gordon M. Boggie
2008,President of the United States,America's Party of Florida,Keyes / Rohrbough
2008,President of the United States,Boston Tea Party of Florida,Jay / Smith
2008,President of the United States,Constitution Party of Florida,Baldwin / Castle
2008,President of the United States,Democrat,Obama / Biden
2008,President of the United States,Ecology Party of Florida,Nader / Gonzalez
2008,President of the United States,Florida Socialist Workers,Harris / Kennedy
2008,President of the United States,Green Party,McKinney / Clemente
2008,President of the United States,Libertarian,Barr / Root
2008,President of the United States,Objectivist Party of Florida,Stevens / Link
2008,President of the United States,Party for Socialism and Liberation - Florida,La Riva / Puryear
2008,President of the United States,Prohibition Party,Amondson / Pletten
2008,President of the United States,Republican,McCain / Palin
2008,President of the United States,Socialist Party of Florida,Moore / Alexander
2008,President of the United States,Write-In,Nettles / Krones
2008,Property Tax Exemption of Perpetually Conserved Land; Classification and Assessment of Land Used for Conservation,Non-Partisan,Yes for Approval
2008,Public Defender,Democrat,Tony Henderson
2008,Public Defender,Republican,James Owens
2008,Sebastian Inlet Tax District,Non-Partisan,Jonathan 'JB' Bredemeyer
2008,Shall Judge Barbara Lagoa be retained in Office?,Non-Partisan,Yes
2008,Shall Judge C. Alan Lawson be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Carolyn K. Fulmer be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Chris W. Altenbernd be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Clay Roberts be retained in Office?,Non-Partisan,Yes
2008,Shall Judge David M. Gersten be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Gerald B. Cope Jr. be retained in Office?,Non-Partisan,Yes
2008,Shall Judge James W. Whatley be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Joseph Lewis Jr. be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Juan Ramirez Jr. be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Kerry I. Evander be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Marguerite H. Davis be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Mark E. Polen be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Martha C. Warner be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Morris Silberman be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Richard B. Orfinger be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Robert T. Benton be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Thomas D. Sawaya be retained in Office?,Non-Partisan,Yes
2008,Shall Judge Vance E. Salter be retained in Office?,Non-Partisan,Yes
2008,Shall Judge W. Matthew Stevenson be retained in Office?,Non-Partisan,Yes
2008,Shall Judge William  A. Van Nortwick Jr. be retained in Office?,Non-Partisan,Yes
2008,Shall Judge William David Palmer be retained in Office?,Non-Partisan,Yes
